pose ID, RMSD, Delta G_bind (run1), Delta G_bind (run2), Delta G_bind (run3), Delta G_bind (run4), Delta G_bind (run5), Delta G_bind (run6), Delta G_bind (run7), Delta G_bind (run8), Delta G_bind (run9), Delta G_bind (run10), Delta G_bind (run11), Delta G_bind (run12), Delta G_bind (run13), Delta G_bind (run14), Delta G_bind (run15), Delta G_bind (run16), Delta G_bind (run17), Delta G_bind (run18), Delta G_bind (run19), Delta G_bind (run20), 
1,0.733,-17.3613098,-22.38246078,-19.87828627,-25.27650392,-23.18781373,-23.29448431,-19.80678235,-19.49222549,-23.39566471,-25.8338098,-17.57327647,-26.50084314,-16.67963529,-17.63138431,-23.09403333,-20.09019804,-20.39981961,-20.49716275,-18.90062353,-19.94701176,
2,1.62,-27.19571569,-22.87991569,-24.9712902,-22.50769216,-22.71875882,-18.3159902,-26.78642157,-20.1868549,-25.9815098,-26.05404118,-20.40971569,-21.5549451,-19.41202941,-22.67451961,-24.46368235,-23.131,-24.06200784,-23.78750588,-26.99300784,-21.40971961,
3,3.42,-18.84634902,-22.05824314,-19.96063725,-20.21101176,-19.96110588,-17.2090902,-23.27141569,-16.30968235,-18.7436098,-19.2587902,-11.94807451,-18.42324118,-22.29158824,-18.56058824,-19.11736078,-16.88101961,-26.63975098,-21.36158627,-22.93214902,-22.07657843,
4,3.73,-13.39189608,-18.88981961,-18.65472941,-17.82581569,-20.4275549,-15.3488902,-17.34125686,-15.41899804,-16.17157255,-18.30095686,-15.84501569,-12.49011373,-23.69931961,-18.29641569,-16.03166471,-19.7468451,-15.70867255,-20.58792353,-13.97840588,-20.49901569,
5,4.17,-18.11492941,-17.10204314,-15.5444098,-20.17759608,-16.33955098,-20.19611961,-16.30519412,-18.12727843,-15.05615882,-13.50734706,-16.25322157,-15.87905098,-16.93441373,-19.29205882,-17.94644706,-18.7047,-16.59364706,-14.9518451,-18.96240588,-16.22867255,
6,4.92,-18.36895882,-15.34146667,-12.22413333,-13.59685686,-12.24187059,-14.3497098,-17.14165294,-13.93658235,-10.58984314,-16.20480392,-10.94848431,-16.66595098,-17.70941765,-21.31876471,-15.99612157,-13.60068235,-21.87528039,-17.37084706,-12.13905294,-17.54471961,
7,4.94,-9.857901961,-13.67193725,-14.44378039,-11.39194706,-16.3957,-6.921856863,-13.45731765,-9.123033333,-11.81543137,-11.70083529,-11.61775098,-6.893076471,-11.92034706,-16.05511176,-11.82184118,-16.71540588,-11.25231569,-15.9129098,-12.9117451,-12.56818627,
8,5.14,-18.53422353,-13.82803529,-16.07143725,-19.77863137,-21.02267059,-20.45973725,-17.25344706,-25.2473098,-21.62807059,-20.71567647,-20.7438,-18.37438235,-29.98588627,-15.89107647,-27.74905294,-26.58885098,-21.49297451,-22.95931569,-18.0896549,-19.14524902,
9,5.81,-23.97032745,-18.93719412,-24.25235686,-16.67284118,-19.13124118,-22.61645686,-24.66081961,-21.28833529,-19.18416863,-21.67498039,-18.77487255,-23.71532157,-15.74135294,-21.96790588,-21.94319216,-13.73835882,-27.20190784,-22.81058235,-24.65252353,-14.75400196,
10,6.11,-16.86787843,-20.10005686,-12.02640588,-19.70224314,-16.24433725,-22.43861176,-12.92860392,-20.8171902,-18.83483529,-17.50874314,-17.61363529,-16.03116667,-9.763413725,-13.73865882,-15.74185686,-16.97306863,-16.78170588,-17.83984902,-19.12124118,-10.16625294,
11,6.14,-17.99824706,-20.71291373,-17.10814314,-21.59215098,-18.41764314,-16.13524118,-20.35784706,-21.3034098,-17.33362745,-17.55354314,-18.30852745,-20.27722745,-20.79992157,-15.75563333,-19.17903137,-20.44295294,-16.45743137,-20.99721569,-23.63790196,-19.15554314,
12,6.23,-19.63835294,-19.60739608,-18.72480392,-19.78799804,-17.5692549,-18.91420588,-16.77271961,-19.21408235,-9.466786275,-17.61494314,-21.09180784,-15.46955294,-17.7114549,-15.0814902,-22.24524314,-15.68584706,-21.18377255,-16.78913137,-17.8035,-18.37107843,
13,6.41,-10.82891765,-14.90498039,-17.75462941,-14.22858824,-11.96687451,-18.18759412,-19.22691961,-19.24552549,-17.23244902,-14.35315098,-20.15511765,-13.16799804,-9.489705882,-13.08111765,-15.2869902,-15.79437647,-12.70522353,-17.22694706,-17.82245294,-18.89399804,
14,6.62,-10.92851765,-13.54898039,-12.9551098,-10.88723725,-7.645264706,-15.39487255,-10.18299216,-9.414778431,-6.948639216,-16.38457647,-12.0908549,-12.20220588,-19.23740588,-13.6446549,-9.792731373,-15.06355098,-14.49616863,-11.72138824,-11.92534118,-9.961011765,
15,6.73,-14.87247647,-20.91962353,-9.816621569,-22.72400784,-11.52131176,-23.3643,-20.94009412,-17.41518431,-17.35880588,-16.22185098,-16.6388,-13.85198627,-17.48059608,-13.41479412,-17.34488824,-24.51846078,-17.30686275,-15.04214902,-25.02642941,-17.61351373,
16,6.91,-12.99564902,-16.65726471,-9.973639216,-15.62429804,-17.55365882,-11.66304706,-16.52946275,-14.10037059,-20.51316667,-11.86010392,-14.00189804,-15.61299608,-13.7866,-15.44467059,-16.47007451,-7.601941176,-12.09132353,-16.40650784,-16.26415882,-22.12407843,
17,7.88,-24.49589804,-17.60444118,-16.13613922,-16.77923137,-15.57134118,-16.80592157,-15.28199804,-14.65444902,-18.3102098,-17.48979412,-14.45245882,-14.13816471,-17.29536275,-10.75777647,-14.19730392,-14.77036471,-16.15365882,-16.25399608,-10.42623922,-17.01606863,
18,8.06,-21.63584902,-21.14516275,-21.26309412,-19.98448039,-20.10533137,-21.32617647,-20.39561961,-23.00976078,-19.09704902,-20.3687451,-24.08864706,-19.40664902,-18.02481176,-21.26562157,-21.72314902,-21.68250392,-22.07544314,-20.46427059,-19.55918431,-18.6004098,
19,8.78,-20.35367255,-18.69896471,-18.51057647,-16.02143137,-16.28037843,-18.2393098,-20.97612157,-14.48674706,-18.15246863,-13.40932157,-15.36251961,-19.37178431,-20.63206078,-18.77758824,-15.21120784,-13.65578431,-14.56200392,-18.35649608,-17.31964902,-16.77804902,
20,8.84,-17.16537059,-18.9562451,-15.52397059,-16.1428,-15.54221373,-17.76379412,-15.77714902,-16.43606471,-15.81523137,-18.78993529,-19.42708235,-13.89558824,-14.85662157,-15.73843922,-13.91756471,-15.21335882,-12.03265294,-17.88594314,-14.37936078,-14.24298824,